stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GCHESHNT-1001532-RPL-S-4,,RPL-S,,51.70249,-0.02392,3,910GCHESHNT,L#0,
910GCHESHNT-Plat01-SB-national-rail,,Southbound Platform 1,,,,0,910GCHESHNT,,1
910GCHESHNT-Plat02-NB-national-rail,,Northbound Platform 2,,,,0,910GCHESHNT,,2
910GCHESHNT-Plat03-SB-london-overground,,Southbound Platform 3,,,,0,910GCHESHNT,,3
910GCHINGFD,910GCHINGFD,Chingford,,,,1,,,
910GCHINGFD-Outside,,Outside Chingford,,,,3,910GCHINGFD,,
910GCHINGFD-1001063-Bus-1,,Bus,,51.6336,0.01031,3,910GCHINGFD,L#0,
910GCHINGFD-1001063-Entr-3,,Entr,,51.63349,0.0101,3,910GCHINGFD,L#0,
910GCHINGFD-1001063-RLY-4,,RLY,,51.63308,0.0099,3,910GCHINGFD,L#0,
910GCHINGFD-1001063-RPL-2,,RPL,,51.63327,0.01011,3,910GCHINGFD,L#0,
910GCHINGFD-Plat01-SB-london-overground,,Southbound Platform 1,,,,0,910GCHINGFD,,1
910GCHINGFD-Plat02-SB-london-overground,,Southbound Platform 2,,,,0,910GCHINGFD,,2
910GCHINGFD-Plat03-SB-london-overground,,Southbound Platform 3,,,,0,910GCHINGFD,,3
910GCLAPTON,910GCLAPTON,Clapton,,,,1,,,
910GCLAPTON-Outside,,Outside Clapton,,,,3,910GCLAPTON,,
910GCLAPTON-1001070-Bus-1,,Bus,,51.56203,-0.05746,3,910GCLAPTON,L#0,
910GCLAPTON-1001070-RLY-5,,RLY,,51.56164,-0.05702,3,910GCLAPTON,L#1,
910GCLAPTON-1001070-RPL-N-2,,RPL-N,,51.56176,-0.05682,3,910GCLAPTON,L#-1,
910GCLAPTON-1001070-RPL-S-4,,RPL-S,,51.5617,-0.0567,3,910GCLAPTON,L#-1,
910GCLAPTON-1001070-UPPER-3,,UPPER,,51.56145,-0.05721,3,910GCLAPTON,L#0,
910GCLAPTON-Plat01-SB-london-overground,,Southbound Platform 1,,,,0,910GCLAPTON,,1
910GCLAPTON-Plat02-NB-london-overground,,Northbound Platform 2,,,,0,910GCLAPTON,,2
910GCLDNNRB,910GCLDNNRB,Caledonian Road & Barnsbury,,,,1,,,
910GCLDNNRB-Outside,,Outside Caledonian Road & Barnsbury,,,,3,910GCLDNNRB,,
910GCLDNNRB-1001043-Bus-1,,Bus,,51.54245,-0.11734,3,910GCLDNNRB,L#0,
910GCLDNNRB-1001043-Entr-3,,Entr,,51.54317,-0.11563,3,910GCLDNNRB,L#0,
910GCLDNNRB-1001043-RLY-4,,RLY,,51.54354,-0.11517,3,910GCLDNNRB,L#1,
910GCLDNNRB-1001043-RPL-2,,RPL,,51.54344,-0.11559,3,910GCLDNNRB,L#0,
